house_price,comm_area,comm_plot_ratio,comm_green_ratio,comm_property_fee,comm_name,unit_price,block,house_area,house_direction,house_type,house_decoration,house_lift,house_room_num,house_hall_num,house_toilet_num,house_floor,house_total_floor,trans,school,business,fundamental,is_commcercial,year
350.0,29984.0,1.8,0.25,0.6,翔顺公寓,48611.0,黄兴,72.0,南,普通住宅,1,0,2,2,1,1.0,6.0,1,1,1,1,1,22
285.0,58000.0,1.86,0.25,0.84,三门路510弄小区,42607.0,五角场北,66.9,南,普通住宅,2,0,2,1,1,1.0,6.0,1,0,0,1,1,21
290.0,45640.0,1.8119999999999998,0.328,0.6,腾越路465弄小区,44650.0,东外滩,65.0,南北,普通住宅,2,0,2,1,1,1.0,6.0,1,0,0,0,1,25
298.0,38400.0,2.0,0.4,0.55,国和二村,49667.0,中原,60.0,南,公寓,1,0,2,1,1,1.0,6.0,0,0,1,1,1,26
350.0,36000.0,1.5,0.25,0.55,开鲁五村,42169.0,中原,83.0,南,普通住宅,3,1,3,2,2,2.0,14.0,1,0,0,1,0,24
340.0,390732.6,1.8,0.35,0.6,浣纱四村,57258.0,黄兴,59.4,南北,普通住宅,2,1,2,1,1,0.0,6.0,1,1,0,1,1,23
350.0,33400.0,1.5,0.33999999999999997,1.4,公交新村,64815.0,鞍山,54.0,南北,普通住宅,2,0,2,1,1,0.0,6.0,1,1,0,1,1,26
330.0,32000.0,1.8,0.36,0.6,海鹏苑,52707.0,周家嘴路,62.6,南,普通住宅,1,0,1,2,1,0.0,7.0,1,0,0,1,1,23
340.0,6521.0,1.1,0.2,1.8,铁岭路50弄小区,61818.0,鞍山,55.0,南北,普通住宅,1,0,2,0,1,2.0,6.0,1,0,0,0,1,41
350.0,66880.0,3.0,0.35,0.8,延吉东路131弄小区,59524.0,控江路,58.8,南北,普通住宅,1,0,2,1,1,1.0,6.0,1,0,0,1,1,30
680.0,70000.0,2.1,0.35,1.81,海尚佳园,78026.0,杨浦大桥,87.2,南北,普通住宅,2,0,2,1,1,0.0,17.0,1,0,0,0,1,14
700.0,150000.0,0.7,0.35,1.63,新凤城(公寓住宅),72165.0,控江路,97.0,南北,普通住宅,2,1,2,2,1,0.0,17.0,1,0,0,0,1,15
350.0,30464.2,1.4,0.306,0.81,鞍山路310弄小区,64576.0,鞍山,54.2,南,普通住宅,2,0,2,0,1,2.0,6.0,1,0,0,0,0,38
370.0,60000.0,2.0,0.4,1.0,长白三村,50081.0,控江路,73.9,南北,普通住宅,2,0,2,1,1,0.2,3.0,1,0,0,1,0,19
800.0,150000.0,0.7,0.35,1.63,新凤城(公寓住宅),83039.0,控江路,96.3,南,普通住宅,2,1,2,2,1,0.0,17.0,1,0,0,0,1,15
610.0,55000.0,2.1159999999999997,0.3,1.6,东方名园,67033.0,控江路,91.0,南,普通住宅,2,1,2,2,1,0.0,17.0,1,0,0,1,1,16
370.0,60000.0,2.0,0.4,1.0,长白三村,50081.0,控江路,73.9,南北,普通住宅,1,0,2,1,1,0.2,3.0,0,0,0,1,0,20
390.0,36800.0,1.96,0.38,0.85,益民小区,59424.0,东外滩,65.6,南,普通住宅,2,0,2,1,1,0.0,6.0,1,0,0,0,1,21
380.0,25200.0,2.1399999999999997,0.28,0.5,靖宇东路85弄小区,49764.0,黄兴,76.4,南,普通住宅,2,1,2,0,0,0.0,7.0,1,0,0,1,1,23
