school,info
打虎山路第一小学,"打虎山路第一小学(锦西路)
地址：上海市杨浦区打虎山路138号
电话：(021)65028037
坐标：121.51376,31.280278"
水丰路小学,"水丰路小学(本部)
地址：上海市杨浦区水丰路299号
电话：(021)65300493
坐标：121.544744,31.29295"
复旦大学附属小学,"复旦大学-附属小学
地址：上海市杨浦区政修路130号(政修路)
电话：(021)65643393
坐标：121.51195,31.297947"
杨浦小学,"杨浦小学(西区分校)
地址：杨浦区安波路991号(近双阳路)
电话：(021)55238311
坐标：121.532003,31.306561"
控江二村小学,"控江二村小学(本部)
地址：双阳路650号(双阳路松花江路)
电话：(021)65728883
坐标：121.534551,31.293064"
杨浦复旦科技园小学,"复旦科技园小学
地址：上海市杨浦区政悦路430号
电话：(021)55250958
坐标：121.530161,31.338277"
齐齐哈尔路第一小学,"齐齐哈尔路第一小学
地址：上海市杨浦区齐齐哈尔路669号
电话：(021)65893978
坐标：121.532919,31.269225"
上海理工大学附属小学,"上海理工大学附属小学
地址：上海市杨浦区靖宇东路158号
电话：(021)65485747
坐标：121.546272,31.297958"
杨浦六一小学,"上海市六一小学
地址：上海市杨浦区政通路25号(国济路政通路)
电话：(021)65385727
坐标：121.528427,31.310994"
上海市民办沪东外国语学校,"坐标：121.504008,31.28623"
上海市外国语大学附属双语学校小学部,"上海外国语大学附属双语学校
地址：靖宇南路15号
电话：(021)55805272
坐标：121.534247,31.28634"
杨浦区六一小学,"上海市六一小学
地址：上海市杨浦区政通路25号(国济路政通路)
电话：(021)65385727
坐标：121.528427,31.310994"
五角场小学,"上海市杨浦区五角场小学
地址：邯郸路524弄21号(国宾路邯郸路)
电话：(021)65114341
坐标：121.518842,31.306168"
凤城新村小学,"杨浦区凤城新村小学
地址：凤城六村60号
电话：(021)65039541
坐标：121.52412,31.288995"
上海民办兰生复旦中学,"上海市民办兰生复旦中学
地址：世界路8号
电话：(021)65561661
坐标：121.532988,31.32133"
上海同济大学附属存志学校,"同济大学附属存志学校
地址：许昌路1474号
坐标：121.521022,31.27657"
复旦大学第二附属中学,"坐标：121.512088,31.296093"
上海外国语大学附属双语学校,"上海外国语大学附属双语学校
地址：靖宇南路15号
电话：(021)55805272
坐标：121.534247,31.28634"
上海控江中学附属民办学校,"控江中学附属民办学校
地址：上海市杨浦区怀德路1000号
电话：(021)65419470
坐标：121.528245,31.270703"
复旦大学附属中学,"坐标：121.512427,31.296151"
交通大学附属中学,"上海交通大学附属中学
地址：上海市宝山区殷高路42号
电话：(021)65911245
坐标：121.49563,31.324887"
同济大学第一附属中学,"同济大学第一附属中学
地址：上海市杨浦区国浩路100号
电话：(021)35306854
坐标：121.525014,31.342738"
杨浦高级中学,"上海市杨浦高级中学
地址：杨浦区四平路999号(近大连路)
电话：(021)65976032
坐标：121.506995,31.282709"
控江中学,"上海市控江中学
地址：上海市杨浦区双阳路388号
电话：(021)65180500
坐标：121.539486,31.285102"
复旦大学,"复旦大学(邯郸校区)
地址：上海市杨浦区邯郸路220号
电话：(021)65642222
坐标：121.510766,31.301868"
上海财经大学,"上海财经大学(国定路校区)
地址：上海市杨浦区国定路777号
电话：(021)65904028,(021)65904057
坐标：121.507251,31.311875"
同济大学,"同济大学(四平路校区)
地址：上海市杨浦区四平路1239号
电话：(021)65982200
坐标：121.508532,31.289027"
上海体育学院,"上海体育学院
地址：上海市杨浦区长海路399号
坐标：121.532312,31.319055"
