comm_name,comm_area,comm_households,comm_plot_ratio,comm_parking_num,comm_green_ratio,comm_property_fee
翔顺公寓,暂无,,1.8,,25%,0.60元/m²
三门路510弄小区,58000m²,,1.86,,25%,0.84元/m²
腾越路465弄小区,暂无,,暂无,,暂无,0.60元/m²
国和二村,38400m²,,2,,40%,0.55元/m²
开鲁五村,36000m²,,1.5,,25%,0.55元/m²
浣纱四村,暂无,,1.8,,35%,0.60元/m²
公交新村,暂无,,1.5,,暂无,1.40元/m²
海鹏苑,32000m²,,1.8,,36%,0.60元/m²
铁岭路50弄小区,6521m²,,1.1,,20%,1.80元/m²
延吉东路131弄小区,暂无,,3,,35%,0.80元/m²
海尚佳园,70000m²,,2.1,,35%,1.81元/m²
新凤城(公寓住宅),150000m²,,0.7,,35%,1.63元/m²
鞍山路310弄小区,暂无,,1.4,,暂无,0.81元/m²
长白三村,60000m²,,2,,40%,1.00元/m²
东方名园,55000m²,,暂无,,30%,1.60元/m²
益民小区,36800m²,,1.96,,38%,0.85元/m²
靖宇东路85弄小区,25200m²,,暂无,,暂无,0.50元/m²
浣纱六村,49600m²,,1.8,,35%,0.60元/m²
安波路200弄小区,400000m²,,暂无,,40%,0.80元/m²
凤城五村,55000m²,,1.8,,30%,1.80元/m²
浣纱三村,48900m²,,暂无,,36%,0.80元/m²
新翔公寓,120000m²,,2.27,,36%,1.60元/m²
民星路408弄小区,暂无,,暂无,,暂无,0.60元/m²
佳泰花园,70000m²,,2,,35%,1.60元/m²
内江路391弄小区,暂无,,暂无,,23%,0.60元/m²
延吉三村,3210m²,,1.7,,32%,0.70元/m²
控江一村,48000m²,,1.6,,30%,0.60元/m²
凤城一村,1500m²,,暂无,,暂无,1.20元/m²
凤南一村,2000m²,,暂无,,28%,0.30元/m²
鞍山七村,13000m²,,1.9,,30%,1.50元/m²
双辽新村,暂无,,暂无,,暂无,1.00元/m²
凤城三村,暂无,,1.9,,暂无,0.80元/m²
控江路1200弄小区,暂无,,1,,30%,0.40元/m²
控江路888弄小区,暂无,,1.2,,30%,0.80元/m²
金上海家园,24000m²,,2.3,,38%,1.70元/m²
保利香槟苑,暂无,,2.3,,38%,2.50元/m²
建设新苑,暂无,,暂无,,35%,1.50元/m²
益康大厦,暂无,,暂无,,暂无,1.00元/m²
汇元坊,21000m²,,2.33,,36%,1.60元/m²
中轩丽苑,90000m²,,2,,35%,1.70元/m²
金源佳苑(东区),78000m²,,2,,30%,0.80元/m²
珠江香樟北园,150000m²,,暂无,,30%,1.00元/m²
望春都市家园,63000m²,,2.6,,40%,1.50元/m²
眉州坊,暂无,,1.2,,34%,1.30元/m²
飞虹公寓,8000m²,,2.2,,35%,0.40元/m²
凤城二村,暂无,,1.2,,暂无,0.45元/m²
阳阳公寓,62400m²,,1.8,,35%,0.50元/m²
浣纱雅苑,暂无,,1.4,,35%,0.70元/m²
中原路34弄小区,暂无,,暂无,,暂无,0.80元/m²
控江五村,54000m²,,1.8,,38%,0.60元/m²
工农四村五街坊,暂无,,暂无,,暂无,0.80元/m²
张家浜小区,暂无,,1.5,,暂无,0.50元/m²
同济欣苑(南区),3000m²,,1.6,,40%,1.20元/m²
引翔港小区,暂无,,1.8,,35%,0.60元/m²
长眉小区,43000m²,,暂无,,32%,0.55元/m²
同济新村,28000m²,,暂无,,40%,0.30元/m²
鞍山四村第三小区,暂无,,1.96,,38%,0.85元/m²
鞍山四村第一小区,暂无,,1.96,,38%,0.86元/m²
锦西路150弄小区,暂无,,暂无,,暂无,0.85元/m²
控江路874弄小区,45800m²,,1.7,,30%,0.60元/m²
平凉路1777弄小区,暂无,,1,,27%,0.50元/m²
广圆小区,暂无,,暂无,,暂无,0.80元/m²
万登花苑,800m²,,2.2,,38%,1.25元/m²
内江二村,16000m²,,2.3,,24%,1.25元/m²
铁岭路10弄小区,18000m²,,1.8,,28%,0.35元/m²
上海大花园,200000m²,,2.75,,42%,1.90元/m²
浦罡小区,暂无,,1.52,,15%,0.50元/m²
工农三村,79000m²,,暂无,,23%,1.20元/m²
控江六村,36823m²,,1.8,,35%,0.50元/m²
控江路896弄小区,暂无,,1.6,,35%,0.80元/m²
东上海中心,暂无,,3.2,,30%,1.85元/m²
控江东三村小区,41000m²,,2,,40%,0.60元/m²
怡佳苑,52800m²,,1.6,,35%,0.80元/m²
杨浦欣园(东区),暂无,,暂无,,40%,1.50元/m²
紫罗兰家苑,100000m²,,2.5,,36%,1.75元/m²
兰馨雅苑,74480m²,,2,,35%,1.00元/m²
延吉中路117弄小区,5000m²,,暂无,,39%,0.80元/m²
新凤城(别墅),暂无,,暂无,,35%,1.63元/m²
凤城六村,49000m²,,暂无,,40%,0.70元/m²
水月坊,5652m²,,暂无,,35%,1.20元/m²
内江大楼,14384m²,,暂无,,35%,1.00元/m²
阳明新城,暂无,,1.8,,41%,2.70元/m²
密云小区,暂无,,2,,35%,0.35元/m²
国和路500弄小区,暂无,,1.85,,35%,0.80元/m²
北茶园,71000m²,,1.43,,30%,0.80元/m²
欧洲凯城园,50000m²,,2.2,,35%,1.30元/m²
申通公寓,45000m²,,1.9,,35%,0.40元/m²
"长阳路2320,2330,2340,2350号小区",暂无,,1.4,,27%,暂无
明园大楼,10250m²,,1.3,,35%,0.80元/m²
霍兰公寓,52000m²,,暂无,,38%,1.25元/m²
新江浦公寓,4680m²,,2,,35%,0.90元/m²
惠民新苑,暂无,,暂无,,35%,0.75元/m²
滨江晶典,47000m²,,2.2,,35%,1.76元/m²
浦江风景苑,60000m²,,2.8,,40%,1.50元/m²
延吉东路1弄小区,暂无,,暂无,,32%,0.60元/m²
南茶园,暂无,,1.5,,30%,0.50元/m²
隆昌公寓,暂无,,暂无,,29%,0.45元/m²
信通浦皓园,暂无,,2,,35%,1.58元/m²
辽源公寓,暂无,,暂无,,33%,0.60元/m²
合生高尔夫公寓,58875m²,,暂无,,36%,2.50元/m²
阳光欧洲,9500m²,,2,,30%,1.50元/m²
海上海,90000m²,,2.87,,20%,2.50元/m²
惠元新天地家园,10000m²,,2,,38%,1.25元/m²
公园3000,暂无,,1.5,,38%,1.87元/m²
和平花苑,暂无,,2.7,,36%,2.50元/m²
翡丽甲第,123887m²,,2.5,,35%,11.50元/m²
同济绿园,90000m²,,暂无,,40%,1.20元/m²
明丰阳光苑,90000m²,,1.8,,42%,1.49元/m²
四季绿园,10000m²,,1.8,,30%,0.50元/m²
文化佳园(公寓住宅),150000m²,,暂无,,51%,1.38元/m²
控江四村,54000m²,,2,,38%,0.70元/m²
市光一村,51000m²,,1.9,,38%,0.80元/m²
鞍山八村,15000m²,,暂无,,40%,1.00元/m²
本溪路165弄小区,暂无,,1,,35%,暂无
三湘未来海岸(商住楼),暂无,,2.8,,20%,4.70元/m²
复旦第八宿舍,,,,,,
新江湾中凯城市之光,暂无,,2,,35%,2.30元/m²
大运盛城,190000m²,,3,,30%,1.43元/m²
松花一村,80000m²,,2,,35%,0.40元/m²
控江路129弄小区,暂无,,2,,35%,0.85元/m²
武川路99弄小区,暂无,,暂无,,暂无,1.00元/m²
中王小区,暂无,,2.4,,35%,0.40元/m²
中原路99弄小区,暂无,,暂无,,暂无,0.85元/m²
民治路12弄小区,暂无,,1.8,,35%,0.35元/m²
双阳一村,46000m²,,暂无,,45%,0.50元/m²
控江路645弄小区,5412m²,,1.2,,32%,0.60元/m²
文化花园香榭丽苑,320000m²,,1.07,,40%,1.60元/m²
本溪路149弄小区,暂无,,暂无,,暂无,1.20元/m²
鞍山四村第二小区,暂无,,1.96,,38%,0.35元/m²
铁岭路110弄住宅小区,19000m²,,暂无,,暂无,0.80元/m²
书香公寓,暂无,,暂无,,暂无,1.50元/m²
黄兴路1039弄小区,暂无,,暂无,,暂无,0.80元/m²
鞍山六村,65000m²,,暂无,,35%,0.30元/m²
阜新路284弄小区,暂无,,1.8,,35%,0.50元/m²
鞍山三村住宅小区,46000m²,,1.5,,35%,0.50元/m²
打虎山路6弄小区,暂无,,1.23,,30%,0.30元/m²
延吉一村,5212m²,,1.9,,20%,0.80元/m²
姚家桥小区,12000m²,,暂无,,30%,0.90元/m²
三联小区(杨浦),暂无,,1.2,,35%,0.48元/m²
辽源四村,暂无,,1.96,,38%,1.20元/m²
锦杨苑,23000m²,,2.6,,35%,0.65元/m²
杨浦松花小区,3000m²,,1.2,,35%,0.80元/m²
延吉五村,2012m²,,2,,40%,0.74元/m²
复旦第三宿舍,29000m²,,1.5,,30%,0.80元/m²
国权路333弄小区,暂无,,1.8,,35%,4.50元/m²
天翔花苑,10000m²,,1.1,,35%,0.50元/m²
安图新村,14000m²,,1.6,,40%,0.50元/m²
复旦第二宿舍,暂无,,暂无,,暂无,1.00元/m²
全家福家园,16519m²,,1.8,,31%,1.10元/m²
新凤城银座,14000m²,,暂无,,35%,3.50元/m²
远东一村,1500m²,,暂无,,40%,1.25元/m²
延吉七村,60000m²,,1.84,,38%,0.50元/m²
中环和润苑,暂无,,1.8,,30%,1.60元/m²
江浦汽车公寓,暂无,,2.1,,暂无,0.50元/m²
国和一村,39200m²,,1.8,,30%,0.50元/m²
韵都城,暂无,,2.54,,40%,1.50元/m²
现代星洲城(三期),暂无,,2.12,,35%,1.50元/m²
长海路500弄小区,暂无,,暂无,,暂无,暂无
宁武小区(西区),暂无,,1.8,,38%,0.80元/m²
宁国路393号公寓,,,,,,
长阳新苑,140000m²,,5.6,,35%,0.65元/m²
霍兰小区,47000m²,,暂无,,35%,0.40元/m²
金鹏花园(东区),暂无,,2,,35%,1.30元/m²
中通大厦,暂无,,暂无,,34%,1.00元/m²
控江二村107弄小区,暂无,,1.5,,25%,1.50元/m²
绿景家苑,28000m²,,暂无,,35%,0.50元/m²
安波路985弄小区,暂无,,1.9,,25%,1.00元/m²
控江西三村小区,41000m²,,2,,40%,0.85元/m²
松花江路95弄小区,暂无,,1.4,,35%,0.75元/m²
兴平昌苑,23400m²,,2.2,,30%,1.55元/m²
荣丰花园,50000m²,,2.5,,30%,0.50元/m²
城市名园,200000m²,,暂无,,35%,1.40元/m²
城市方园,暂无,,暂无,,30%,1.20元/m²
华荣公寓,暂无,,3.2,,43%,0.80元/m²
幸福公寓,8545m²,,1.3,,20%,1.20元/m²
杨家宅小区,2541m²,,1.1,,30%,0.60元/m²
荣鑫公寓,76000m²,,1.8,,35%,0.50元/m²
富天苑,68000m²,,1.9,,30%,1.20元/m²
幸福村小区,16000m²,,暂无,,25%,0.40元/m²
凤城四村小区,暂无,,1.8,,35%,0.40元/m²
同济国康公寓,23000m²,,2.3,,34%,1.50元/m²
友谊新村(杨浦),暂无,,1.2,,30%,0.10元/m²
政通新苑,14000m²,,1.7,,30%,0.48元/m²
四平路2065弄小区,暂无,,1.2,,35%,0.80元/m²
平凉路174弄小区,暂无,,暂无,,暂无,元/m²
飞帆大楼,15000m²,,暂无,,35%,0.60元/m²
凯兴苑,32170m²,,1.9,,38%,0.48元/m²
